index,ids,artist,genre,name,subgenres,urls,artist_song,photos
0,01MWMVIJ5PDKOLuoZm3AL7,Michael Burks,blues,Make It Rain,['blues---electric blues'],https://datalakerpg.s3.ap-southeast-2.amazonaws.com/ludwig_music_data/mp3/blues/01MWMVIJ5PDKOLuoZm3AL7.mp3,Michael Burks - Make It Rain,https://tse4.explicit.bing.net/th?id=OIP.8JRZsBpmsEm83pqszLaC4AAAAA&pid=Api
1,01PS1areNdzaORljuLQTAR,Elmore James,blues,Sinful Woman,['blues---electric blues'],https://datalakerpg.s3.ap-southeast-2.amazonaws.com/ludwig_music_data/mp3/blues/01PS1areNdzaORljuLQTAR.mp3,Elmore James - Sinful Woman,https://tse4.mm.bing.net/th?id=OIP.gzSoL3TUBEZHnw00v5VLcQHaE7&pid=Api
2,01ZOelFcLgOBpYg3xoagoR,John Lee Hooker,blues,How Can You Do It,['blues---electric blues'],https://datalakerpg.s3.ap-southeast-2.amazonaws.com/ludwig_music_data/mp3/blues/01ZOelFcLgOBpYg3xoagoR.mp3,John Lee Hooker - How Can You Do It,https://tse3.mm.bing.net/th?id=OIP.DEcSQ9z7dJcSCnGc12ylLgHaI8&pid=Api
3,02P3Thwk7K52CgvznzMxz2,Dave Van Ronk,blues,Buckets of Rain,['blues---country blues'],https://datalakerpg.s3.ap-southeast-2.amazonaws.com/ludwig_music_data/mp3/blues/02P3Thwk7K52CgvznzMxz2.mp3,Dave Van Ronk - Buckets of Rain,https://tse1.mm.bing.net/th?id=OIP.oZDeYMp4_Oo4zXxIz8AS-gHaE8&pid=Api
4,02egLiBBNLyww0dI0s02LB,Jessie Mae Hemphill,blues,"Baby, Please Don't Go",['blues---country blues'],https://datalakerpg.s3.ap-southeast-2.amazonaws.com/ludwig_music_data/mp3/blues/02egLiBBNLyww0dI0s02LB.mp3,"Jessie Mae Hemphill - Baby, Please Don't Go",https://tse3.mm.bing.net/th?id=OIP.h3eDgzNytlfBrbHYTK3uWQAAAA&pid=Api
5,03RRcpi8CscYIVM7OsApys,Jimmy Reed,blues,Hold Me Close,['blues---electric blues'],https://datalakerpg.s3.ap-southeast-2.amazonaws.com/ludwig_music_data/mp3/blues/03RRcpi8CscYIVM7OsApys.mp3,Jimmy Reed - Hold Me Close,https://tse1.mm.bing.net/th?id=OIP.SeEn8rEwh7O8jR0WRJOcdgHaJ8&pid=Api
6,04AnQAx64VgFGvdKGCgZvM,B.B. King,blues,How Blue Can You Get,['blues---electric blues'],https://datalakerpg.s3.ap-southeast-2.amazonaws.com/ludwig_music_data/mp3/blues/04AnQAx64VgFGvdKGCgZvM.mp3,B.B. King - How Blue Can You Get,https://tse3.mm.bing.net/th?id=OIP.snqyv0A6ovzB8QWR_8fWkAHaFj&pid=Api
7,04QIEqQ5g27rbPDdBatcyP,Those Poor Bastards,blues,Nightmare World,['blues---country blues'],https://datalakerpg.s3.ap-southeast-2.amazonaws.com/ludwig_music_data/mp3/blues/04QIEqQ5g27rbPDdBatcyP.mp3,Those Poor Bastards - Nightmare World,https://tse1.mm.bing.net/th?id=OIP.SgNoKO2KdYUKbB87kt8UcwAAAA&pid=Api
8,04h8ffz907S09MTRMccI6d,"Gary Clark, Jr.",blues,Cold Blooded,['blues---electric blues'],https://datalakerpg.s3.ap-southeast-2.amazonaws.com/ludwig_music_data/mp3/blues/04h8ffz907S09MTRMccI6d.mp3,"Gary Clark, Jr. - Cold Blooded",https://tse4.mm.bing.net/th?id=OIP.WdJAf5kLrmtlfqlowHPwIQHaLI&pid=Api
9,05USpKORCNyWIQ85SCNmqD,Johnny Winter,blues,Help Me,['blues---electric blues'],https://datalakerpg.s3.ap-southeast-2.amazonaws.com/ludwig_music_data/mp3/blues/05USpKORCNyWIQ85SCNmqD.mp3,Johnny Winter - Help Me,https://tse1.mm.bing.net/th?id=OIP.5BFqVAJfm-TItfnX7puTsAHaKD&pid=Api
